esh	tow	po-pw	twc	<u>	twc	<u>	po-pw	
2857	0.888885636	6.99E-01	9.62E-01	1.11E+00	-2.47E+03	4.92E-04	1.25E-01	-1 281.22
6845	0.93625364	7.97E-01	9.81E-01	1.07E+00	-2.52E+03	4.75E-04	1.43E-01	-1 349.50
16678	0.951744789	8.74E-01	9.90E-01	1.05E+00	-2.54E+03	4.63E-04	1.56E-01	-1 371.82
32366	0.970540691	9.30E-01	9.90E-01	1.03E+00	-2.55E+03	4.54E-04	1.66E-01	-1 398.92
60595	0.979158833	9.65E-01	9.90E-01	1.02E+00	-2.56E+03	4.49E-04	1.72E-01	-1 411.34
100011	0.986358887	9.79E-01	1.00E+00	1.01E+00	-2.56E+03	4.47E-04	1.75E-01	-1 421.72
194352	0.994867412	9.93E-01	1.00E+00	1.00E+00	-2.56E+03	4.44E-04	1.77E-01	-1 433.98
396577	1	1.00E+00	1.00E+00	1.00E+00	-2.57E+03	4.42E-04	1.78E-01	-1 441.38
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
